org_name,n_records,normalized,legacy_cik,resolved_cik,method,grade,legacy_vs_resolved,evidence
"Altice USA, Inc.",1,ALTICE USA,1702780,1702780.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,"EDGAR name: ALTICE USA, INC."
"Altria Group, Inc.",1,ALTRIA GROUP,764180,764180.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: ALTRIA GROUP INC
Amadas Industries,1,AMADAS INDUSTRIES,1324404,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"American Alarm & Communications, Inc.",1,AMERICAN ALARM COMMUNICATIONS,1034054,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
American Electric Power,2,AMERICAN ELECTRIC POWER,4904,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,"Candidates: 4904 (AMERICAN ELECTRIC POWER CO INC, AEP) | 1218721 (AMERICAN ELECTRIC POWER CO) || legacy ticker: AEP"
Ametros Financial Corporation,1,AMETROS FINANCIAL,713676,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Amgen Inc.,2,AMGEN,318154,318154.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: AMGEN INC
Amphenol Canada Corporation,1,AMPHENOL CANADA,820313,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Aon Corporation,1,AON,315293,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,"Candidates: 315293 (AON CORP, AON) | 1556748 (AON CORP) || legacy ticker: AON"
Aon Corporation PLC,1,AON PLC,315293,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,"Candidates: 315293 (AON CORP, AON) | 1808065 (AON PLC) || legacy ticker: AON"
Aon PLC,1,AON PLC,315293,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,"Candidates: 315293 (AON CORP, AON) | 1808065 (AON PLC) || legacy ticker: AON"
Apple Inc.,7,APPLE,320193,320193.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: APPLE COMPUTER INC
Ariel Corporation,1,ARIEL,874761,911167.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,EDGAR name: ARIEL CORP
Arx Capital LLC,1,ARX CAPITAL,927628,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"Audacy, Inc",1,AUDACY,1662742,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,"Candidates: 1067837 (AUDACY, INC.) | 1650982 (AUDACY CORP) || legacy ticker: AUDAQ"
"Automatic Data Processing, Inc.",1,AUTOMATIC DATA PROCESSING,8670,8670.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: AUTOMATIC DATA PROCESSING INC
B Capital Group,1,B CAPITAL GROUP,927628,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
BBB Industries LLC,1,BBB INDUSTRIES,1324404,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"BBC Industries, Inc.",1,BBC INDUSTRIES,1324404,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"BDP International, Inc.",1,BDP INTERNATIONAL,5272,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"Block Electric Company, Inc.",1,BLOCK ELECTRIC,1512673,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Block Inc,1,BLOCK,1512673,1512673.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,"EDGAR name: BLOCK, INC."
"Block and Company, Inc.",3,BLOCK AND,1512673,1512673.0,REASONING_HIGH,VERIFIED-REASONING,SAME,SEC EDGAR: Block Inc. (formerly Square Inc.) CIK 1512673 verified. Name changed Dec 2021 | EDGAR-confirmed
"Block, Inc.",1,BLOCK,1512673,1512673.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,"EDGAR name: BLOCK, INC."
"Bonland Industries, Inc.",1,BONLAND INDUSTRIES,1324404,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Boost Mobile,1,BOOST MOBILE,1001082,,GATE1_DECISION,REVIEW,NEWLY-EXCLUDED,Single breach 2019-03-14 (Sprint era). Options: (a) successor-equity convention -> 1283699 (consistent with Sprint rows); (b) Sprint-era equity CIK; (c) exclude as brand without own listing. Legacy canonical carried 1283699.
"Bray International, Inc.",2,BRAY INTERNATIONAL,5272,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"Brown Construction Services, Inc.",1,BROWN CONSTRUCTION SERVICES,79282,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"Brown Integrated Logistics, Inc.",1,BROWN INTEGRATED LOGISTICS,79282,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"Brown Paindiris & Scott, LLP",3,BROWN PAINDIRIS SCOTT,79282,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"Brown, Lisle/Cummings, Inc.",1,BROWN LISLE CUMMINGS,79282,14745.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,"EDGAR name: BROWN, LISLE/CUMMINGS, INC."
Brown-Forman Corporation,1,BROWN FORMAN,79282,14693.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,EDGAR name: BROWN FORMAN CORP
"Burrelles Information Services, LLC",3,BURRELLES INFORMATION SERVICES,1136893,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"CBD Industries, LLC",1,CBD INDUSTRIES,1324404,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
CLAS Information Services,2,CLAS INFORMATION SERVICES,1136893,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"CM Group Holdings, Inc. d/b/a Creative Memories",1,CM GROUP HOLDINGS D B A CREATIVE MEMORIES,1973266,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"CSI Financial Services, LLC",1,CSI FINANCIAL SERVICES,713676,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
CSX Transportation,3,CSX TRANSPORTATION,277948,88128.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,EDGAR name: CSX TRANSPORTATION INC
"CSX Transportation, Inc.",4,CSX TRANSPORTATION,277948,88128.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,EDGAR name: CSX TRANSPORTATION INC
CWGS Group,3,CWGS GROUP,831001,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"Cable One, Inc.",4,CABLE ONE,1632127,1632127.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,"EDGAR name: CABLE ONE, INC."
"Caesars Entertainment, Inc.",2,CAESARS ENTERTAINMENT,1590895,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,"Candidates: 858339 (CAESARS ENTERTAINMENT CORP) | 1070794 (CAESARS ENTERTAINMENT INC) | 1590895 (CAESARS ENTERTAINMENT, INC., CZR) || legacy ticker: CZR"
"Capital Asset Management Group, Inc.",1,CAPITAL ASSET MANAGEMENT GROUP,927628,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"Capital Brands Distribution, LLC",1,CAPITAL BRANDS DISTRIBUTION,927628,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Capital Integration Systems LLC,1,CAPITAL INTEGRATION SYSTEMS,927628,1497060.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,EDGAR name: CAPITAL INTEGRATION SYSTEMS LLC
Capital Lumber Company,2,CAPITAL LUMBER,927628,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Carnival Corporation,2,CARNIVAL,815097,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,"Candidates: 815097 (CARNIVAL CORP, CCL) | 1584022 (CARNIVAL, INC.) || legacy ticker: CCL"
Carnival Corporation & PLC,2,CARNIVAL PLC,815097,1125259.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,EDGAR name: CARNIVAL PLC
Carnival Corporation & plc,1,CARNIVAL PLC,815097,1125259.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,EDGAR name: CARNIVAL PLC
"Cencora, Inc.",57,CENCORA,1140859,1140859.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: AMERISOURCE BERGEN CORP
Centene Management Corporation,1,CENTENE MANAGEMENT,1071739,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"Centerline Communications, LLC",1,CENTERLINE COMMUNICATIONS,1034054,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Centerstone Insurance and Financial Services,1,CENTERSTONE INSURANCE AND FINANCIAL SERVICES,713676,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
CenturyLink,4,CENTURYLINK,18926,18926.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: CENTURY TELEPHONE ENTERPRISES INC
CenturyLink Communications,2,CENTURYLINK COMMUNICATIONS,18926,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Centurylink Communications,1,CENTURYLINK COMMUNICATIONS,18926,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Change Healthcare Inc.,1,CHANGE HEALTHCARE,1932393,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,Candidates: 1414847 (CHANGE HEALTHCARE CORP) | 1756497 (CHANGE HEALTHCARE INC.) || legacy ticker: GEHC
"Chart Industries, Inc.",1,CHART INDUSTRIES,1324404,892553.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,EDGAR name: CHART INDUSTRIES INC
Charter Communication,1,CHARTER COMMUNICATION,1091667,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Charter Communications,2,CHARTER COMMUNICATIONS,1091667,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,"Candidates: 19392 (CHARTER COMMUNICATIONS INC) | 1686835 (CHARTER COMMUNICATIONS, LLC) || legacy ticker: CHTR"
"Charter Communications, Inc.",5,CHARTER COMMUNICATIONS,1091667,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,"Candidates: 19392 (CHARTER COMMUNICATIONS INC) | 1686835 (CHARTER COMMUNICATIONS, LLC) || legacy ticker: CHTR"
"Charter Next Generation, Inc.",1,CHARTER NEXT GENERATION,1091667,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Christensen Oâ€™Connor Johnson Kindness PLLC,1,CHRISTENSEN OÂ CONNOR JOHNSON KINDNESS PLLC,200406,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Cintas Corporation,1,CINTAS,723254,723254.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: CINTAS CORP
"Cisco Systems, Inc.",2,CISCO SYSTEMS,858877,858877.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: CISCO SYSTEMS INC
Citrix,1,CITRIX,877890,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Citrix Systems,2,CITRIX SYSTEMS,877890,877890.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: CITRIX SYSTEMS INC
Citrix Systems Inc.,2,CITRIX SYSTEMS,877890,877890.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: CITRIX SYSTEMS INC
"Citrix Systems, Inc.",2,CITRIX SYSTEMS,877890,877890.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: CITRIX SYSTEMS INC
"Cleo Communications US, LLC",1,CLEO COMMUNICATIONS US,1034054,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Coca-Cola Bottling Company of Northern New England,1,COCA COLA BOTTLING OF NORTHERN NEW ENGLAND,21344,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Cognizant Technology Solutions Corporation,1,COGNIZANT TECHNOLOGY SOLUTIONS,1058290,1058290.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: COGNIZANT TECHNOLOGY SOLUTIONS CORP
Comcast,4,COMCAST,1166691,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,"Candidates: 22301 (COMCAST CORP) | 1166691 (AT&T COMCAST CORP, CMCSA) || legacy ticker: CMCSA"
Comcast Cable Communications LLC,12,COMCAST CABLE COMMUNICATIONS,1166691,1040573.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,EDGAR name: COMCAST CABLE COMMUNICATIONS INC
"Comcast Cable Communications, Inc.",2,COMCAST CABLE COMMUNICATIONS,1166691,1040573.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,EDGAR name: COMCAST CABLE COMMUNICATIONS INC
Communications & Power Industries LLC,1,COMMUNICATIONS POWER INDUSTRIES,1034054,1000564.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,EDGAR name: COMMUNICATIONS & POWER INDUSTRIES INC
Consolidated Edison Company of New York LLC,2,CONSOLIDATED EDISON OF NEW YORK,1390777,23632.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,EDGAR name: CONSOLIDATED EDISON CO OF NEW YORK INC
"Corebridge Financial, Inc.",1,COREBRIDGE FINANCIAL,713676,1889539.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,"EDGAR name: COREBRIDGE FINANCIAL, INC."
Cornerstone Healthcare Group Management Services LLC,1,CORNERSTONE HEALTHCARE GROUP MANAGEMENT SERVICES,1932393,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Corteva Agriscience,1,CORTEVA AGRISCIENCE,1755672,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Costco Photo Center,1,COSTCO PHOTO CENTER,909832,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Cricket Wireless LLC,2,CRICKET WIRELESS,732717,732717.0,ADJUDICATED,ADJUDICATED,SAME,AT&T Inc. — Cricket Communications FRN 0004321139; LLC variant; 7/28 adjudication
CrowdStrike Holdings Inc.,1,CROWDSTRIKE HOLDINGS,1535527,1535527.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,"EDGAR name: CROWDSTRIKE HOLDINGS, INC."
"CrowdStrike Holdings, Inc.",1,CROWDSTRIKE HOLDINGS,1713683,1535527.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,"EDGAR name: CROWDSTRIKE HOLDINGS, INC."
Crown Castle,2,CROWN CASTLE,1051470,1051470.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: CROWN CASTLE INC.
"CyrusOne, Inc.",1,CYRUSONE,1553023,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,Candidates: 1553023 (CYRUSONE HOLDCO LLC) | 1575809 (CYRUSONE LLC) | 1575810 (CYRUSONE LP) || legacy ticker: CONE
DC Group,1,DC GROUP,831001,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
DISH Network Corporation,1,DISH NETWORK,1001082,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,Candidates: 920436 (DISH NETWORK LLC) | 1001082 (DISH NETWORK CORP) || legacy ticker: DISH
DISH Network L.L.C.,1,DISH NETWORK L L C,1001082,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
"DISH Network, LLC",6,DISH NETWORK,1001082,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,Candidates: 920436 (DISH NETWORK LLC) | 1001082 (DISH NETWORK CORP) || legacy ticker: DISH
"Defender Industries, Inc.",1,DEFENDER INDUSTRIES,1324404,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Dell Inc.,1,DELL,1571996,826083.0,EXACT_UNAMBIGUOUS,VERIFIED,CORRECTED,EDGAR name: DELL COMPUTER CORP
"Delta Air Lines, Inc.",2,DELTA AIR LINES,27904,27904.0,EXACT_UNAMBIGUOUS,VERIFIED,SAME,EDGAR name: DELTA AIR LINES INC /DE/
Delta Global Services,1,DELTA GLOBAL SERVICES,27904,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
Deluxe Corporation,1,DELUXE,832101,,EXACT_AMBIGUOUS,AMBIGUOUS,NEWLY-EXCLUDED,"Candidates: 27996 (DELUXE CORP, DLX) | 1200788 (DELUXE CORP INC) || legacy ticker: IEX"
"Derby Industries, LLC",2,DERBY INDUSTRIES,1324404,,NO_MATCH,EXCLUDED-UNRESOLVED,NEWLY-EXCLUDED,"No EDGAR exact match, no reasoning-pass entry (FISC precedent: exclude unless Gate 1 overturns)"
