proxy_date,accession,committee,term,sentence,first_proxy_date
2021-04-21,0001193125-21-124685,Audit Committee,privacy,"The Chief Audit Executive provides a quarterly enterprise-wide risk assessment (including risks relating to cybersecurity and privacy), annual fraud risk assessment, and SOX and Internal Audit reporting or assessments to the Audit Committee, and updates the Audit Committee on significant issues raised by the Enterprise Risk and Compliance Committee.",2021-04-21
2021-04-21,0001193125-21-124685,Audit reporting or assessments to the Audit Committee,cybersecurity,"The Chief Audit Executive provides a quarterly enterprise-wide risk assessment (including risks relating to cybersecurity and privacy), annual fraud risk assessment, and SOX and Internal Audit reporting or assessments to the Audit Committee, and updates the Audit Committee on significant issues raised by the Enterprise Risk and Compliance Committee.",2021-04-21
2021-04-21,0001193125-21-124685,Audit reporting or assessments to the Audit Committee,privacy,"The Chief Audit Executive provides a quarterly enterprise-wide risk assessment (including risks relating to cybersecurity and privacy), annual fraud risk assessment, and SOX and Internal Audit reporting or assessments to the Audit Committee, and updates the Audit Committee on significant issues raised by the Enterprise Risk and Compliance Committee.",2021-04-21
2021-04-21,0001193125-21-124685,Risk and Compliance Committee,cybersecurity,"The Chief Audit Executive provides a quarterly enterprise-wide risk assessment (including risks relating to cybersecurity and privacy), annual fraud risk assessment, and SOX and Internal Audit reporting or assessments to the Audit Committee, and updates the Audit Committee on significant issues raised by the Enterprise Risk and Compliance Committee.",2021-04-21
2021-04-21,0001193125-21-124685,Risk and Compliance Committee,privacy,"The Chief Audit Executive provides a quarterly enterprise-wide risk assessment (including risks relating to cybersecurity and privacy), annual fraud risk assessment, and SOX and Internal Audit reporting or assessments to the Audit Committee, and updates the Audit Committee on significant issues raised by the Enterprise Risk and Compliance Committee.",2018-04-26
2022-04-27,0001193125-22-123750,Risk and Compliance Committee,information security,Management Has Established an Enterprise Risk and Compliance Committee and an Information Security and Privacy Council The Enterprise Risk and Compliance Committee oversees risk management and compliance activities as a means of bringing risk issues to the attention of senior management.,2018-04-26
2022-04-27,0001193125-22-123750,Risk and Compliance Committee,privacy,Management Has Established an Enterprise Risk and Compliance Committee and an Information Security and Privacy Council The Enterprise Risk and Compliance Committee oversees risk management and compliance activities as a means of bringing risk issues to the attention of senior management.,2018-04-26
2022-04-27,0001193125-22-123750,Audit Committee,cybersecurity,"The Chief Audit Executive provides a quarterly enterprise-wide risk assessment (including risks relating to cybersecurity and privacy), annual fraud risk assessment, and SOX and Internal Audit reporting or assessments to the Audit Committee, and updates the Audit Committee on significant issues raised by the Enterprise Risk and Compliance Committee.",2021-04-21
2022-04-27,0001193125-22-123750,Audit Committee,privacy,"The Chief Audit Executive provides a quarterly enterprise-wide risk assessment (including risks relating to cybersecurity and privacy), annual fraud risk assessment, and SOX and Internal Audit reporting or assessments to the Audit Committee, and updates the Audit Committee on significant issues raised by the Enterprise Risk and Compliance Committee.",2021-04-21
2022-04-27,0001193125-22-123750,Audit reporting or assessments to the Audit Committee,cybersecurity,"The Chief Audit Executive provides a quarterly enterprise-wide risk assessment (including risks relating to cybersecurity and privacy), annual fraud risk assessment, and SOX and Internal Audit reporting or assessments to the Audit Committee, and updates the Audit Committee on significant issues raised by the Enterprise Risk and Compliance Committee.",2021-04-21
2022-04-27,0001193125-22-123750,Audit reporting or assessments to the Audit Committee,privacy,"The Chief Audit Executive provides a quarterly enterprise-wide risk assessment (including risks relating to cybersecurity and privacy), annual fraud risk assessment, and SOX and Internal Audit reporting or assessments to the Audit Committee, and updates the Audit Committee on significant issues raised by the Enterprise Risk and Compliance Committee.",2021-04-21
2022-04-27,0001193125-22-123750,Risk and Compliance Committee,cybersecurity,"The Chief Audit Executive provides a quarterly enterprise-wide risk assessment (including risks relating to cybersecurity and privacy), annual fraud risk assessment, and SOX and Internal Audit reporting or assessments to the Audit Committee, and updates the Audit Committee on significant issues raised by the Enterprise Risk and Compliance Committee.",2021-04-21
2022-04-27,0001193125-22-123750,Risk and Compliance Committee,privacy,"The Chief Audit Executive provides a quarterly enterprise-wide risk assessment (including risks relating to cybersecurity and privacy), annual fraud risk assessment, and SOX and Internal Audit reporting or assessments to the Audit Committee, and updates the Audit Committee on significant issues raised by the Enterprise Risk and Compliance Committee.",2018-04-26
2022-04-27,0001193125-22-123750,Nominating and Corporate Governance Committee,cybersecurity,"Nominating and Corporate Governance Committee The Nominating and Corporate Governance Committee oversees Board process and corporate governance-related risks, management of compliance risks, risks related to our diversity, corporate social responsibility and sustainability practices, and risks related to the Company’s data privacy and information security programs, including cybersecurity.",2022-04-27
2022-04-27,0001193125-22-123750,Nominating and Corporate Governance Committee,information security,"Nominating and Corporate Governance Committee The Nominating and Corporate Governance Committee oversees Board process and corporate governance-related risks, management of compliance risks, risks related to our diversity, corporate social responsibility and sustainability practices, and risks related to the Company’s data privacy and information security programs, including cybersecurity.",2022-04-27
2022-04-27,0001193125-22-123750,Nominating and Corporate Governance Committee,privacy,"Nominating and Corporate Governance Committee The Nominating and Corporate Governance Committee oversees Board process and corporate governance-related risks, management of compliance risks, risks related to our diversity, corporate social responsibility and sustainability practices, and risks related to the Company’s data privacy and information security programs, including cybersecurity.",2022-04-27
2022-04-27,0001193125-22-123750,Nominating and Corporate Governance Committee,cybersecurity,"The Chief Cyber Transformation Officer and our Chief Security Officer provide periodic reports to the Nominating and Corporate Governance Committee on the Company’s data privacy and information and infrastructure security programs, including cybersecurity.",2022-04-27
2022-04-27,0001193125-22-123750,Nominating and Corporate Governance Committee,privacy,"The Chief Cyber Transformation Officer and our Chief Security Officer provide periodic reports to the Nominating and Corporate Governance Committee on the Company’s data privacy and information and infrastructure security programs, including cybersecurity.",2022-04-27
2023-04-28,0001193125-23-126842,Risk and Compliance Committee,information security,Management Has Established an Enterprise Risk and Compliance Committee and an Information Security and Privacy Council The Enterprise Risk and Compliance Committee oversees risk management and compliance activities as a means of bringing risk issues to the attention of senior management.,2018-04-26
2023-04-28,0001193125-23-126842,Risk and Compliance Committee,privacy,Management Has Established an Enterprise Risk and Compliance Committee and an Information Security and Privacy Council The Enterprise Risk and Compliance Committee oversees risk management and compliance activities as a means of bringing risk issues to the attention of senior management.,2018-04-26
2023-04-28,0001193125-23-126842,Audit Committee,cybersecurity,"The Chief Audit Executive provides a quarterly enterprise-wide risk assessment (including risks relating to cybersecurity and privacy), annual fraud risk assessment, and SOX and Internal Audit reporting or assessments to the Audit Committee, and updates the Audit Committee on significant issues raised by the Enterprise Risk and Compliance Committee.",2021-04-21
2023-04-28,0001193125-23-126842,Audit Committee,privacy,"The Chief Audit Executive provides a quarterly enterprise-wide risk assessment (including risks relating to cybersecurity and privacy), annual fraud risk assessment, and SOX and Internal Audit reporting or assessments to the Audit Committee, and updates the Audit Committee on significant issues raised by the Enterprise Risk and Compliance Committee.",2021-04-21
2023-04-28,0001193125-23-126842,Audit reporting or assessments to the Audit Committee,cybersecurity,"The Chief Audit Executive provides a quarterly enterprise-wide risk assessment (including risks relating to cybersecurity and privacy), annual fraud risk assessment, and SOX and Internal Audit reporting or assessments to the Audit Committee, and updates the Audit Committee on significant issues raised by the Enterprise Risk and Compliance Committee.",2021-04-21
2023-04-28,0001193125-23-126842,Audit reporting or assessments to the Audit Committee,privacy,"The Chief Audit Executive provides a quarterly enterprise-wide risk assessment (including risks relating to cybersecurity and privacy), annual fraud risk assessment, and SOX and Internal Audit reporting or assessments to the Audit Committee, and updates the Audit Committee on significant issues raised by the Enterprise Risk and Compliance Committee.",2021-04-21
2023-04-28,0001193125-23-126842,Risk and Compliance Committee,cybersecurity,"The Chief Audit Executive provides a quarterly enterprise-wide risk assessment (including risks relating to cybersecurity and privacy), annual fraud risk assessment, and SOX and Internal Audit reporting or assessments to the Audit Committee, and updates the Audit Committee on significant issues raised by the Enterprise Risk and Compliance Committee.",2021-04-21
2023-04-28,0001193125-23-126842,Risk and Compliance Committee,privacy,"The Chief Audit Executive provides a quarterly enterprise-wide risk assessment (including risks relating to cybersecurity and privacy), annual fraud risk assessment, and SOX and Internal Audit reporting or assessments to the Audit Committee, and updates the Audit Committee on significant issues raised by the Enterprise Risk and Compliance Committee.",2018-04-26
2023-04-28,0001193125-23-126842,Nominating and Corporate Governance Committee,cybersecurity,"Nominating and Corporate Governance Committee The Nominating and Corporate Governance Committee oversees Board process and corporate governance-related risks, management of compliance risks, risks related to our diversity, corporate social responsibility and sustainability practices, and risks related to the Company’s data privacy and information security programs, including cybersecurity. 14 PROXY STATEMENT 2023",2022-04-27
2023-04-28,0001193125-23-126842,Nominating and Corporate Governance Committee,information security,"Nominating and Corporate Governance Committee The Nominating and Corporate Governance Committee oversees Board process and corporate governance-related risks, management of compliance risks, risks related to our diversity, corporate social responsibility and sustainability practices, and risks related to the Company’s data privacy and information security programs, including cybersecurity. 14 PROXY STATEMENT 2023",2022-04-27
2023-04-28,0001193125-23-126842,Nominating and Corporate Governance Committee,privacy,"Nominating and Corporate Governance Committee The Nominating and Corporate Governance Committee oversees Board process and corporate governance-related risks, management of compliance risks, risks related to our diversity, corporate social responsibility and sustainability practices, and risks related to the Company’s data privacy and information security programs, including cybersecurity. 14 PROXY STATEMENT 2023",2022-04-27
2023-04-28,0001193125-23-126842,Nominating and Corporate Governance Committee,cybersecurity,"The Chief Cyber Transformation Officer, Chief Security Officer and Chief Privacy Officer provide periodic reports to the Nominating and Corporate Governance Committee on the Company’s data privacy and information and infrastructure security programs, including cybersecurity.",2022-04-27
2023-04-28,0001193125-23-126842,Nominating and Corporate Governance Committee,privacy,"The Chief Cyber Transformation Officer, Chief Security Officer and Chief Privacy Officer provide periodic reports to the Nominating and Corporate Governance Committee on the Company’s data privacy and information and infrastructure security programs, including cybersecurity.",2022-04-27
2023-04-28,0001193125-23-126842,Nominating and Corporate Governance Committee,cybersecurity,"The Nominating and Corporate Governance Committee discusses with management the Company’s privacy and data security, including cybersecurity, risk exposures, policies, and practices, including the steps management has taken to detect, monitor and control such risks.",2022-04-27
2023-04-28,0001193125-23-126842,Nominating and Corporate Governance Committee,data security,"The Nominating and Corporate Governance Committee discusses with management the Company’s privacy and data security, including cybersecurity, risk exposures, policies, and practices, including the steps management has taken to detect, monitor and control such risks.",2023-04-28
2023-04-28,0001193125-23-126842,Nominating and Corporate Governance Committee,privacy,"The Nominating and Corporate Governance Committee discusses with management the Company’s privacy and data security, including cybersecurity, risk exposures, policies, and practices, including the steps management has taken to detect, monitor and control such risks.",2022-04-27
2023-04-28,0001193125-23-126842,Nominating and Corporate Governance Committee,cybersecurity,"The Nominating and Corporate Governance Committee, as well as the Board, receive reports from officers with responsibilities for the Company’s data privacy and information and infrastructure security programs, including cybersecurity.",2022-04-27
2023-04-28,0001193125-23-126842,Nominating and Corporate Governance Committee,privacy,"The Nominating and Corporate Governance Committee, as well as the Board, receive reports from officers with responsibilities for the Company’s data privacy and information and infrastructure security programs, including cybersecurity.",2022-04-27
2024-04-26,0001193125-24-117940,Risk and Compliance Committee,cybersecurity,"Management Maintains an Enterprise Risk and Compliance Committee The Enterprise Risk and Compliance Committee oversees and governs the Company’s risk management, cybersecurity, ESG, and operational compliance activities, as well as provides a means of bringing risk issues to the attention of management.",2021-04-21
2024-04-26,0001193125-24-117940,Risk and Compliance Committee,privacy,"Over the last year, such oversight responsibilities have been shifted to the Enterprise Risk and Compliance Committee and the Transformation and Chief Information & Digital Officer is now a member of the committee, while the Chief Security Officer and the Chief Privacy Officer serve in an advisory capacity.",2018-04-26
2024-04-26,0001193125-24-117940,Audit Committee,cybersecurity,"The Chief Audit Executive provides a quarterly enterprise-wide risk assessment (including risks relating to cybersecurity and privacy), annual fraud risk assessment, and SOX and Internal Audit reporting or assessments to the Audit Committee and updates the Audit Committee on significant issues raised by the Enterprise Risk and Compliance Committee.",2021-04-21
2024-04-26,0001193125-24-117940,Audit Committee,privacy,"The Chief Audit Executive provides a quarterly enterprise-wide risk assessment (including risks relating to cybersecurity and privacy), annual fraud risk assessment, and SOX and Internal Audit reporting or assessments to the Audit Committee and updates the Audit Committee on significant issues raised by the Enterprise Risk and Compliance Committee.",2021-04-21
2024-04-26,0001193125-24-117940,Audit reporting or assessments to the Audit Committee,cybersecurity,"The Chief Audit Executive provides a quarterly enterprise-wide risk assessment (including risks relating to cybersecurity and privacy), annual fraud risk assessment, and SOX and Internal Audit reporting or assessments to the Audit Committee and updates the Audit Committee on significant issues raised by the Enterprise Risk and Compliance Committee.",2021-04-21
2024-04-26,0001193125-24-117940,Audit reporting or assessments to the Audit Committee,privacy,"The Chief Audit Executive provides a quarterly enterprise-wide risk assessment (including risks relating to cybersecurity and privacy), annual fraud risk assessment, and SOX and Internal Audit reporting or assessments to the Audit Committee and updates the Audit Committee on significant issues raised by the Enterprise Risk and Compliance Committee.",2021-04-21
2024-04-26,0001193125-24-117940,Risk and Compliance Committee,cybersecurity,"The Chief Audit Executive provides a quarterly enterprise-wide risk assessment (including risks relating to cybersecurity and privacy), annual fraud risk assessment, and SOX and Internal Audit reporting or assessments to the Audit Committee and updates the Audit Committee on significant issues raised by the Enterprise Risk and Compliance Committee.",2021-04-21
2024-04-26,0001193125-24-117940,Risk and Compliance Committee,privacy,"The Chief Audit Executive provides a quarterly enterprise-wide risk assessment (including risks relating to cybersecurity and privacy), annual fraud risk assessment, and SOX and Internal Audit reporting or assessments to the Audit Committee and updates the Audit Committee on significant issues raised by the Enterprise Risk and Compliance Committee.",2018-04-26
2024-04-26,0001193125-24-117940,Nominating and Corporate Governance Committee,cybersecurity,"Nominating and Corporate Governance Committee The Nominating and Corporate Governance Committee oversees Board process and corporate governance-related risks, management of compliance risks, risks related to our diversity, corporate social responsibility and sustainability practices, and risks related to the Company’s data privacy and information security programs, including cybersecurity.",2022-04-27
2024-04-26,0001193125-24-117940,Nominating and Corporate Governance Committee,information security,"Nominating and Corporate Governance Committee The Nominating and Corporate Governance Committee oversees Board process and corporate governance-related risks, management of compliance risks, risks related to our diversity, corporate social responsibility and sustainability practices, and risks related to the Company’s data privacy and information security programs, including cybersecurity.",2022-04-27
2024-04-26,0001193125-24-117940,Nominating and Corporate Governance Committee,privacy,"Nominating and Corporate Governance Committee The Nominating and Corporate Governance Committee oversees Board process and corporate governance-related risks, management of compliance risks, risks related to our diversity, corporate social responsibility and sustainability practices, and risks related to the Company’s data privacy and information security programs, including cybersecurity.",2022-04-27
2024-04-26,0001193125-24-117940,Nominating and Corporate Governance Committee,cybersecurity,"The Transformation and Chief Information & Digital Officer, Chief Security Officer and Chief Privacy Officer provide periodic reports to the Nominating and Corporate Governance Committee on the Company’s data privacy and information and infrastructure security programs, including cybersecurity.",2022-04-27
2024-04-26,0001193125-24-117940,Nominating and Corporate Governance Committee,privacy,"The Transformation and Chief Information & Digital Officer, Chief Security Officer and Chief Privacy Officer provide periodic reports to the Nominating and Corporate Governance Committee on the Company’s data privacy and information and infrastructure security programs, including cybersecurity.",2022-04-27
2024-04-26,0001193125-24-117940,Nominating and Corporate Governance Committee,cybersecurity,"The Nominating and Corporate Governance Committee discusses with management the Company’s privacy and data security, including cybersecurity, risk exposures, policies, practices, including the steps management has taken to detect, monitor and control such risks, as well as trends in cybersecurity threats.",2022-04-27
2024-04-26,0001193125-24-117940,Nominating and Corporate Governance Committee,data security,"The Nominating and Corporate Governance Committee discusses with management the Company’s privacy and data security, including cybersecurity, risk exposures, policies, practices, including the steps management has taken to detect, monitor and control such risks, as well as trends in cybersecurity threats.",2023-04-28
2024-04-26,0001193125-24-117940,Nominating and Corporate Governance Committee,privacy,"The Nominating and Corporate Governance Committee discusses with management the Company’s privacy and data security, including cybersecurity, risk exposures, policies, practices, including the steps management has taken to detect, monitor and control such risks, as well as trends in cybersecurity threats.",2022-04-27
2024-04-26,0001193125-24-117940,Nominating and Corporate Governance Committee,cybersecurity,The Nominating and Corporate Governance Committee seeks updates to facilitate proactive governance and to allow the Nominating and Corporate Governance Committee to address emerging cybersecurity issues with management.,2022-04-27
2024-04-26,0001193125-24-117940,Nominating and Corporate Governance Committee,cybersecurity,"These discussions enable the Nominating and Corporate Governance Committee to be informed of the steps management is taking to detect, monitor and manage cybersecurity risks.",2022-04-27
2024-04-26,0001193125-24-117940,Nominating and Corporate Governance Committee,cybersecurity,"The Nominating and Corporate Governance Committee, as well as the Board, receive reports from officers with responsibilities for the Company’s data privacy and information and infrastructure security programs, including cybersecurity.",2022-04-27
2024-04-26,0001193125-24-117940,Nominating and Corporate Governance Committee,privacy,"The Nominating and Corporate Governance Committee, as well as the Board, receive reports from officers with responsibilities for the Company’s data privacy and information and infrastructure security programs, including cybersecurity.",2022-04-27
2025-04-18,0001193125-25-085753,Risk and Compliance Committee,cybersecurity,"Management Maintains an Enterprise Risk and Compliance Committee The Enterprise Risk and Compliance Committee oversees and governs the Company’s risk management, cybersecurity, corporate responsibility, and operational compliance activities, as well as provides a means of bringing risk issues to the attention of management.",2021-04-21
2025-04-18,0001193125-25-085753,Risk and Compliance Committee,cybersecurity,"Responsibilities for risk management and compliance are distributed throughout various functional areas of the business, and the Enterprise Risk and Compliance Committee consists of representatives of our senior leadership team as well as leaders and other representatives from the enterprise risk organization, the enterprise compliance and ethics function, and subject matter experts from across the Company, such as our cybersecurity and technology team and legal team.",2021-04-21
2025-04-18,0001193125-25-085753,Risk and Compliance Committee,privacy,"Over the last year, such oversight responsibilities have been shifted to the Enterprise Risk and Compliance Committee and the Transformation and Chief Information & Digital Officer is now a member of the committee, while the Chief Security Officer and the Chief Privacy Officer serve in an advisory capacity.",2018-04-26
2025-04-18,0001193125-25-085753,Audit Committee,cybersecurity,"The Chief Audit Executive provides a quarterly enterprise-wide risk assessment (including risks relating to cybersecurity and privacy), annual fraud risk assessment, and SOX and Internal Audit reporting or assessments to the Audit Committee and updates the Audit Committee on significant issues raised by the Enterprise Risk and Compliance Committee.",2021-04-21
2025-04-18,0001193125-25-085753,Audit Committee,privacy,"The Chief Audit Executive provides a quarterly enterprise-wide risk assessment (including risks relating to cybersecurity and privacy), annual fraud risk assessment, and SOX and Internal Audit reporting or assessments to the Audit Committee and updates the Audit Committee on significant issues raised by the Enterprise Risk and Compliance Committee.",2021-04-21
2025-04-18,0001193125-25-085753,Audit reporting or assessments to the Audit Committee,cybersecurity,"The Chief Audit Executive provides a quarterly enterprise-wide risk assessment (including risks relating to cybersecurity and privacy), annual fraud risk assessment, and SOX and Internal Audit reporting or assessments to the Audit Committee and updates the Audit Committee on significant issues raised by the Enterprise Risk and Compliance Committee.",2021-04-21
2025-04-18,0001193125-25-085753,Audit reporting or assessments to the Audit Committee,privacy,"The Chief Audit Executive provides a quarterly enterprise-wide risk assessment (including risks relating to cybersecurity and privacy), annual fraud risk assessment, and SOX and Internal Audit reporting or assessments to the Audit Committee and updates the Audit Committee on significant issues raised by the Enterprise Risk and Compliance Committee.",2021-04-21
2025-04-18,0001193125-25-085753,Risk and Compliance Committee,cybersecurity,"The Chief Audit Executive provides a quarterly enterprise-wide risk assessment (including risks relating to cybersecurity and privacy), annual fraud risk assessment, and SOX and Internal Audit reporting or assessments to the Audit Committee and updates the Audit Committee on significant issues raised by the Enterprise Risk and Compliance Committee.",2021-04-21
2025-04-18,0001193125-25-085753,Risk and Compliance Committee,privacy,"The Chief Audit Executive provides a quarterly enterprise-wide risk assessment (including risks relating to cybersecurity and privacy), annual fraud risk assessment, and SOX and Internal Audit reporting or assessments to the Audit Committee and updates the Audit Committee on significant issues raised by the Enterprise Risk and Compliance Committee.",2018-04-26
2025-04-18,0001193125-25-085753,Nominating and Corporate Governance Committee,cybersecurity,"Nominating and Corporate Governance Committee The Nominating and Corporate Governance Committee oversees Board process and corporate governance-related risks, management of compliance risks, risks related to our diversity, corporate social responsibility and sustainability practices, and risks related to the Company’s data privacy and information security programs, including cybersecurity.",2022-04-27
2025-04-18,0001193125-25-085753,Nominating and Corporate Governance Committee,information security,"Nominating and Corporate Governance Committee The Nominating and Corporate Governance Committee oversees Board process and corporate governance-related risks, management of compliance risks, risks related to our diversity, corporate social responsibility and sustainability practices, and risks related to the Company’s data privacy and information security programs, including cybersecurity.",2022-04-27
2025-04-18,0001193125-25-085753,Nominating and Corporate Governance Committee,privacy,"Nominating and Corporate Governance Committee The Nominating and Corporate Governance Committee oversees Board process and corporate governance-related risks, management of compliance risks, risks related to our diversity, corporate social responsibility and sustainability practices, and risks related to the Company’s data privacy and information security programs, including cybersecurity.",2022-04-27
2025-04-18,0001193125-25-085753,Nominating and Corporate Governance Committee,cybersecurity,"The Transformation and Chief Information & Digital Officer, Chief Security Officer and Chief Privacy Officer provide periodic reports to the Nominating and Corporate Governance Committee on the Company’s data privacy and information and infrastructure security programs, including cybersecurity.",2022-04-27
2025-04-18,0001193125-25-085753,Nominating and Corporate Governance Committee,privacy,"The Transformation and Chief Information & Digital Officer, Chief Security Officer and Chief Privacy Officer provide periodic reports to the Nominating and Corporate Governance Committee on the Company’s data privacy and information and infrastructure security programs, including cybersecurity.",2022-04-27
2025-04-18,0001193125-25-085753,Nominating and Corporate Governance Committee,cybersecurity,"The Nominating and Corporate Governance Committee discusses with management the Company’s privacy and data security, including cybersecurity, risk exposures, policies, practices, including the steps management has taken to detect, monitor and control such risks, as well as trends in cybersecurity threats.",2022-04-27
2025-04-18,0001193125-25-085753,Nominating and Corporate Governance Committee,data security,"The Nominating and Corporate Governance Committee discusses with management the Company’s privacy and data security, including cybersecurity, risk exposures, policies, practices, including the steps management has taken to detect, monitor and control such risks, as well as trends in cybersecurity threats.",2023-04-28
2025-04-18,0001193125-25-085753,Nominating and Corporate Governance Committee,privacy,"The Nominating and Corporate Governance Committee discusses with management the Company’s privacy and data security, including cybersecurity, risk exposures, policies, practices, including the steps management has taken to detect, monitor and control such risks, as well as trends in cybersecurity threats.",2022-04-27
2025-04-18,0001193125-25-085753,Nominating and Corporate Governance Committee,cybersecurity,The Nominating and Corporate Governance Committee seeks updates to facilitate proactive governance and to allow the Nominating and Corporate Governance Committee to address emerging cybersecurity issues with management.,2022-04-27
2025-04-18,0001193125-25-085753,Nominating and Corporate Governance Committee,cybersecurity,"These discussions enable the Nominating and Corporate Governance Committee to be informed of the steps management is taking to detect, monitor and manage cybersecurity risks.",2022-04-27
2025-04-18,0001193125-25-085753,Nominating and Corporate Governance Committee,cybersecurity,Qualifications and Skills Supporting Election to the Board: Leadership in the intelligence community Expertise on national security issues impacting the telecommunications industry Expertise on cybersecurity Director Since: 2021 Age: 66 Other Public Company Boards: Parsons Corporation COPT Defense Properties Chain Bridge I (2021 to December 2023) Board Committees: Nominating and Corporate Governance Committee,2022-04-27
2026-04-27,0001193125-26-181884,Risk and Compliance Committee,cybersecurity,"Management Maintains an Enterprise Risk and Compliance Committee The Enterprise Risk and Compliance Committee (the “ERCC”) oversees and governs the Company’s risk management, cybersecurity, corporate responsibility, and operational compliance activities, as well as provides a means of bringing risk issues to the attention of management.",2021-04-21
2026-04-27,0001193125-26-181884,Audit Committee,cybersecurity,"The Chief Audit Executive provides a quarterly enterprise-wide risk assessment (including risks relating to cybersecurity and privacy), annual fraud risk assessment, and SOX and Internal Audit reporting or assessments to the Audit Committee and updates the Audit Committee on significant issues raised by the ERCC.",2021-04-21
2026-04-27,0001193125-26-181884,Audit Committee,privacy,"The Chief Audit Executive provides a quarterly enterprise-wide risk assessment (including risks relating to cybersecurity and privacy), annual fraud risk assessment, and SOX and Internal Audit reporting or assessments to the Audit Committee and updates the Audit Committee on significant issues raised by the ERCC.",2021-04-21
2026-04-27,0001193125-26-181884,Audit reporting or assessments to the Audit Committee,cybersecurity,"The Chief Audit Executive provides a quarterly enterprise-wide risk assessment (including risks relating to cybersecurity and privacy), annual fraud risk assessment, and SOX and Internal Audit reporting or assessments to the Audit Committee and updates the Audit Committee on significant issues raised by the ERCC.",2021-04-21
2026-04-27,0001193125-26-181884,Audit reporting or assessments to the Audit Committee,privacy,"The Chief Audit Executive provides a quarterly enterprise-wide risk assessment (including risks relating to cybersecurity and privacy), annual fraud risk assessment, and SOX and Internal Audit reporting or assessments to the Audit Committee and updates the Audit Committee on significant issues raised by the ERCC.",2021-04-21
2026-04-27,0001193125-26-181884,"Nominating, Corporate Governance and Compliance Committee",cybersecurity,"Nominating, Corporate Governance and Compliance Committee The Nominating, Corporate Governance and Compliance Committee oversees Board process and corporate governance-related risks, management of compliance risks, risks related to our corporate social responsibility and sustainability practices, and risks related to the Company’s data privacy and information security programs, including cybersecurity.",2026-04-27
2026-04-27,0001193125-26-181884,"Nominating, Corporate Governance and Compliance Committee",information security,"Nominating, Corporate Governance and Compliance Committee The Nominating, Corporate Governance and Compliance Committee oversees Board process and corporate governance-related risks, management of compliance risks, risks related to our corporate social responsibility and sustainability practices, and risks related to the Company’s data privacy and information security programs, including cybersecurity.",2026-04-27
