proxy_date,accession,pay_link,terms,sentence
2014-04-24,0001193125-14-157312,False,data,"Peer Group Total Shareholder Return: 5/1/2013 through 12/31/2013 (1), (2), (3) (1) Data represents closing prices as of May 1, 2013 and December 31, 2013, assuming re-investment of dividends, as reported from Equilar Corporate Governance Database."
2014-04-24,0001193125-14-157312,False,data,"The Compensation Committee considers competitive market data, including peer group data and internal comparators among the officer positions."
2014-04-24,0001193125-14-157312,True,data,The amount of the award was based on the long-term component of the competitive market data established based on the peer group and selected other survey data.
2015-04-22,0001193125-15-142092,False,data,Market Analysis We use comparative executive officer compensation data publicly disclosed by a peer group of public companies in addition to compensation survey data to evaluate the competitiveness of our executive officer compensation and to guide the compensation for newly hired executive officers.
2015-04-22,0001193125-15-142092,False,data,We do not target a specific percentile in the range of comparative data for each individual or for each component of compensation.
2015-04-22,0001193125-15-142092,True,data,"In determining the amount of base salary, target incentive award and level of equity compensation for each Named Executive Officer, we review the comparative compensation data and consider each executive’s level of responsibility, prior experience, past job performance, contribution to the Company’s success and results achieved."
2016-04-28,0001193125-16-564011,False,data,Market Analysis We use comparative executive officer compensation data publicly disclosed by a peer group of public companies in addition to compensation survey data to evaluate the competitiveness of our executive officer compensation and to guide the compensation for newly hired executive officers.
2016-04-28,0001193125-16-564011,False,data,We do not target a specific percentile in the range of comparative data for each individual or for each component of compensation.
2016-04-28,0001193125-16-564011,True,data,"In determining the amount of base salary, target incentive award and level of equity compensation for each Named Executive Officer, we review the comparative compensation data and consider each executive’s level of responsibility, prior experience, past job performance, contribution to the Company’s success and results achieved."
2016-04-28,0001193125-16-564011,False,data,Increases were established based on the Compensation Committee’s assessment of each Named Executive Officer in relation to peer and survey market data as well as the executive officer’s contribution to the Company’s ongoing strategy.
2017-04-27,0001193125-17-143185,False,data,Market Analysis We use comparative executive officer compensation data publicly disclosed by a peer group of public companies in addition to compensation survey data to evaluate the competitiveness of our executive officer compensation and to guide the compensation for newly hired executive officers.
2017-04-27,0001193125-17-143185,False,data,We do not target a specific percentile in the range of comparative data for each individual or for each component of compensation.
2017-04-27,0001193125-17-143185,True,data,"In determining the amount of base salary, target incentive award and level of equity compensation for each Named Executive Officer, we review the comparative compensation data and consider each executive’s level of responsibility, prior experience, past job performance, contribution to the Company’s success and results achieved."
2017-04-27,0001193125-17-143185,False,data,Increases were established based on the Compensation Committee’s assessment of each Named Executive Officer in relation to peer and survey market data as well as the executive officer’s contribution to the Company’s ongoing strategy.
2017-04-27,0001193125-17-143185,False,data,"Base salaries for our Named Executive Officers are set by the Compensation Committee, with assistance from the compensation consultant, after consideration of various factors including individual performance, executive experience and skill set and market data."
2018-04-26,0001193125-18-134957,False,data,Market Analysis We use comparative executive officer compensation data publicly disclosed by a peer group of public companies in addition to compensation survey data to evaluate the competitiveness of our executive officer compensation and to guide the compensation for newly hired executive officers.
2018-04-26,0001193125-18-134957,False,data,We do not target a specific percentile in the range of comparative data for each individual or for each component of compensation.
2018-04-26,0001193125-18-134957,True,data,"In determining the amount of base salary, target incentive award and level of equity compensation for each Named Executive Officer, we review the comparative compensation data and consider each executive’s level of responsibility, prior experience, past job performance, contribution to the Company’s success and results achieved."
2018-04-26,0001193125-18-134957,True,data,"Based on the Compensation Committee’s assessment of each Named Executive Officer in relation to peer and survey market data as well as the executive officer’s contribution to the Company’s ongoing strategy, the Compensation Committee increased the total target compensation of each of our Named Executive Officers for 2017, including increases to base salary, annual short-term incentive opportunity and target long-term incentive opportunity."
2018-04-26,0001193125-18-134957,False,data,"Base salaries for our Named Executive Officers are set by the Compensation Committee, with assistance from the independent compensation consultant, after consideration of various factors including individual performance, executive experience and skill set and market data."
2019-04-26,0001193125-19-122304,False,data,Market Analysis We use comparative executive officer compensation data publicly disclosed by a peer group of public companies in addition to compensation survey data to evaluate the competitiveness of our executive officer compensation and to guide the compensation for newly hired executive officers.
2019-04-26,0001193125-19-122304,False,data,We do not target a specific percentile in the range of comparative data for each individual or for each component of compensation.
2019-04-26,0001193125-19-122304,True,data,"In determining the amount of base salary, the target annual incentive award and the target annual long-term incentive award value for each Named Executive Officer, we review the comparative compensation data and consider each executive’s level of responsibility, prior experience, past job performance, internal comparators, contribution to the Company’s success and results achieved."
2019-04-26,0001193125-19-122304,True,data,"Based on the Compensation Committee’s assessment of each Named Executive Officer in relation to peer and survey market data as well as the executive officer’s contribution to the Company’s ongoing strategy, including contributions related to the proposed merger with Sprint Corporation (the “Sprint Combination”) pursuant to that certain Business Combination Agreement, dated April 29, 2018, by and between the Company and certain other parties thereto (the “Sprint Business Combination Agreement”), the Compensation Committee increased the total target compensation of each of our Named Executive Of"
2019-04-26,0001193125-19-122304,False,data,"Base salaries for our Named Executive Officers are set by the Compensation Committee, with assistance from the independent compensation consultant, after consideration of various factors including individual performance, executive experience and skill set, retention considerations, and market data."
2020-04-21,0001193125-20-113504,False,data,Market Analysis We use comparative executive officer compensation data publicly disclosed by a peer group of public companies in addition to compensation survey data to evaluate the competitiveness of our executive officer compensation and to guide the compensation for newly hired executive officers.
2020-04-21,0001193125-20-113504,False,data,We do not target a specific percentile in the range of comparative data for each individual or for each component of compensation.
2020-04-21,0001193125-20-113504,True,data,"In determining the amount of base salary, the target annual short-term incentive award value and the target annual long-term incentive award value for each Named Executive Officer, we review the comparative compensation data and consider each executive’s level of responsibility, prior experience, past job performance, internal comparators, contribution to the Company’s success and results achieved."
2020-04-21,0001193125-20-113504,False,data,"Based on the Compensation Committee’s assessment of each Named Executive Officer in relation to peer and survey market data as well as the executive officer’s contributions to the Company’s ongoing strategy, including contributions relating to the Sprint Combination, the Compensation Committee increased the total target compensation for Messrs."
2020-04-21,0001193125-20-113504,False,data,"Base salaries for our Named Executive Officers are set by the Compensation Committee, with assistance from the Compensation Committee’s independent compensation consultant, after consideration of various factors including individual performance, executive experience and skill set, retention considerations, and market data."
2021-04-21,0001193125-21-124685,False,data,MARKET ANALYSIS We use comparative executive officer compensation data publicly disclosed by a peer group of public companies in addition to compensation survey data to evaluate the competitiveness of our executive officer compensation and to guide the compensation for newly hired and promoted executive officers.
2021-04-21,0001193125-21-124685,False,data,"We do not target a specific percentile in the range of comparative data for each individual or for each component of compensation, except as provided below for Mr."
2021-04-21,0001193125-21-124685,True,data,"In determining the amount of base salary, the target annual short-term incentive award value and the target annual long-term incentive award value for each Named Executive Officer, we review the comparative compensation data and consider each executive’s level of responsibility, prior experience, past job performance, internal comparators, contribution to the Company’s success and results achieved."
2021-04-21,0001193125-21-124685,True,data,"Based on the Compensation Committee’s assessment of each Named Executive Officer in relation to peer and survey market data as well as the executive officer’s contributions to the Company’s ongoing strategy, including contributions relating to the Sprint Combination and ongoing integration efforts, the Compensation Committee increased the total target compensation for the Named Executive Officers for 2020, including an increase to one or more component of base salary, target annual short-term incentive opportunity and target annual long-term incentive opportunity."
2021-04-21,0001193125-21-124685,False,data,"Base salaries for our Named Executive Officers are set by the Compensation Committee, with assistance from the Compensation Committee’s independent compensation consultant, after consideration of various factors including individual performance, executive experience and skill set, retention considerations, and market data."
2022-04-27,0001193125-22-123750,False,data,We use comparative executive officer compensation data publicly disclosed by a peer group of public companies in addition to compensation survey data with respect to that peer group to evaluate the competitiveness of our executive officer compensation and to guide the compensation for newly hired and promoted executive officers.
2022-04-27,0001193125-22-123750,False,data,"We do not target a specific percentile in the range of comparative data for each individual or for each component of compensation, except as provided below for Mr."
2022-04-27,0001193125-22-123750,True,data,"In determining the amount of base salary, the target annual short-term incentive award value and the target annual long-term incentive award value for each Named Executive Officer, we review the comparative compensation data and consider each executive’s level of responsibility, prior experience, past job performance, internal comparators, contribution to the Company’s success and results achieved."
2022-04-27,0001193125-22-123750,True,data,"Based on the Compensation Committee’s assessment of each Named Executive Officer in relation to peer and survey market data related to such peer group as well as the executive officer’s contributions to the Company’s ongoing strategy, the Compensation Committee increased the total target compensation for the Named Executive Officers for 2021, including an increase to one or more component of base salary, target annual short-term incentive opportunity and target annual long-term incentive opportunity."
2022-04-27,0001193125-22-123750,False,data,"Base salaries for our Named Executive Officers are set by the Compensation Committee, with assistance from the Compensation Committee’s independent compensation consultant, after consideration of various factors including individual performance, executive experience and skill set, retention considerations, and market data."
2023-04-28,0001193125-23-126842,False,data,We use comparative executive officer compensation data publicly disclosed by a peer group of public companies in addition to compensation survey data with respect to that peer group to evaluate the competitiveness of our executive officer compensation and to guide the compensation for newly hired and promoted executive officers.
2023-04-28,0001193125-23-126842,False,data,"We do not target a specific percentile in the range of comparative data for each individual or for each component of compensation, except as provided below for Mr."
2023-04-28,0001193125-23-126842,True,data,"In determining the amount of base salary, the target annual short-term incentive award value and the target annual long-term incentive award value for each Named Executive Officer, we review the comparative compensation data and consider each executive’s level of responsibility, prior experience, past job performance, internal comparators, contribution to the Company’s success and results achieved."
2023-04-28,0001193125-23-126842,False,data,"Based on the Compensation Committee’s assessment of each Named Executive Officer in relation to peer proxy and survey market data related to such peer group, the executive officer’s contributions to the Company’s ongoing strategy, and, for Mr."
2023-04-28,0001193125-23-126842,False,data,"Base salaries for our Named Executive Officers are set by the Compensation Committee, with assistance from the Compensation Committee’s independent compensation consultant, after consideration of various factors including individual performance, executive experience and skill set, retention considerations, and market data."
2023-04-28,0001193125-23-126842,False,data,"Sievert, comparative data from Chief Executive Officers in our peer group in accordance with the 2019 Sievert Employment Agreement."
2023-04-28,0001193125-23-126842,True,cyber,"PROXY STATEMENT 2023 47 Table of Contents Executive Compensation Metric Weight Minimum Performance (in millions) Target Performance (in millions) Maximum Performance (in millions) Actual Performance (in millions) Achievement US GAAP Service Revenue 20% $56,917 $59,917 $60,667 $61,323 200 % Total Net Additions 20% 4.018 6.018 7.018 6.757 174 % Core Adjusted EBITDA 30% $23,625 $25,625 $26,625 $26,391 177 % Free Cash Flow (1) 30% $ 6,004 $ 7,254 $ 8,254 $ 7,696 144 % Total Corporate Attainment 171 % 1 Actual performance of Free Cash Flow excludes the impacts of the cyberattack that the Company pu"
2023-04-28,0001193125-23-126842,False,cyber,"Actual performance of Free Cash Flow under our 2022 STIP equals Free Cash Flow for the full year 2022 of $7,656 million as reported in our Annual Report on Form 10-K, plus the impact of the August 2021 cyberattack of $40 million."
2024-04-26,0001193125-24-117940,False,data,We use comparative executive officer compensation data publicly disclosed by a peer group of public companies in addition to compensation survey data with respect to that peer group to evaluate the competitiveness of our executive officer compensation and to guide us in establishing compensation for newly hired and promoted executive officers.
2024-04-26,0001193125-24-117940,False,data,"We do not target a specific percentile in the range of comparative data for each individual or for each component of compensation, except as provided below for Mr."
2024-04-26,0001193125-24-117940,False,data,"Instead, we review the comparative compensation data and consider each executive’s level of responsibility, prior experience, past job performance, internal comparators, contribution to the Company’s success and actual results achieved."
2024-04-26,0001193125-24-117940,False,data,"It then assesses the compensation of each Named Executive Officer in relation to peer proxy and survey market data related to such peer group, the executive officer’s contributions to the Company’s ongoing strategy, and, for Mr."
2024-04-26,0001193125-24-117940,False,data,"Base salaries for our Named Executive Officers are set by the Compensation Committee, with assistance from the Compensation Committee’s independent compensation consultant, after consideration of various factors including individual performance, executive experience and skill set, retention considerations, and market data."
2025-04-18,0001193125-25-085753,False,data,We use comparative executive officer compensation data publicly disclosed by a peer group of public companies in addition to compensation survey data with respect to that peer group to evaluate the competitiveness of our executive officer compensation and to guide us in establishing compensation for newly hired and promoted executive officers.
2025-04-18,0001193125-25-085753,False,data,"We do not target a specific percentile in the range of comparative data for each individual or for each component of compensation, except as provided below for Mr."
2025-04-18,0001193125-25-085753,False,data,"Instead, we review the comparative compensation data and consider each executive’s level of responsibility, prior experience, past job performance, internal comparators, contribution to the Company’s success and actual results achieved."
2025-04-18,0001193125-25-085753,False,data,"It then assesses the compensation of each Named Executive Officer in relation to peer proxy and survey market data related to such peer group, the executive officer’s contributions to the Company’s ongoing strategy, and, for Mr."
2025-04-18,0001193125-25-085753,False,data,"Base salaries for our Named Executive Officers are set by the Compensation Committee, with assistance from the Compensation Committee’s independent compensation consultant, after consideration of various factors including individual performance, executive experience and skill set, retention considerations, and market data."
2026-04-27,0001193125-26-181884,False,data,We use comparative executive officer compensation data publicly disclosed by a peer group of public companies in addition to compensation survey data with respect to that peer group to evaluate the competitiveness of our executive officer compensation and to guide us in establishing compensation for newly hired and promoted executive officers.
2026-04-27,0001193125-26-181884,False,data,"We generally do not target a specific percentile in the range of comparative data for each individual or for each component of compensation, except as provided below for Mr."
2026-04-27,0001193125-26-181884,False,data,"Instead, we review the comparative compensation data and consider each executive’s level of responsibility, prior experience, past job performance, internal comparators, contribution to the Company’s success and actual results achieved."
2026-04-27,0001193125-26-181884,True,data,"Freier), each such Named Executive Officer’s annual base salary and target grant-date value of annual long-term incentive (“LTI”) awards will be determined based on specific percentiles in the range of comparative data as set forth in their respective employment arrangements with the Company, which are described in more detail under “—Employment Arrangements.” The Sievert Employment Agreement provided that, during Mr."
2026-04-27,0001193125-26-181884,False,data,"It then assesses the compensation of each Named Executive Officer in relation to our peer group and survey market data related to such peer group, the executive officer’s contributions to the Company’s ongoing strategy, and, for Mr."
2026-04-27,0001193125-26-181884,False,data,"Base salaries for our Named Executive Officers are set by the Compensation Committee, with assistance from the Compensation Committee’s independent compensation consultant, after consideration of various factors including individual performance, executive experience and skill set, retention considerations, and market data."
